Titolo;Anno;Copertina;Autori;Sintesi;Link;Tipologia
Il clima in Italia nel 2020;2021;"./www/img/clima2020.jpg";Fioravanti G., Fraschetti P., Lena F., Perconti W., Piervitali E.;"Il rapporto mostra l'andamento del clima nel corso del 2020 e aggiorna la stime delle variazioni climatiche negli ultimi decenni in Italia";"http://www.scia.isprambiente.it/wwwrootscia/Documentazione/RAPPORTOCLIMA2020.pdf";Rapporto
Il clima in Italia nel 2019;2020;"./www/img/clima2019.jpg";Fioravanti G., Fraschetti P., Lena F., Perconti W., Piervitali E.;"Il rapporto mostra l'andamento del clima nel corso del 2019 e aggiorna la stime delle variazioni climatiche negli ultimi decenni in Italia";"http://www.scia.isprambiente.it/wwwrootscia/Documentazione/RAPPORTOCLIMA2019.pdf";Rapporto
Il clima in Italia nel 2018;2019;"./www/img/clima2018.jpg";Fioravanti G., Fraschetti P., Lena F., Perconti W., Piervitali E.;"Il rapporto mostra l'andamento del clima nel corso del 2018 e aggiorna la stime delle variazioni climatiche negli ultimi decenni in Italia";"http://www.scia.isprambiente.it/wwwrootscia/Documentazione/RAPPORTOCLIMA2018.pdf";Rapporto
Il clima in Italia nel 2017;2018;"./www/img/clima2017.jpg";Fioravanti G., Fraschetti P., Lena F., Perconti W., Piervitali E.;"Il rapporto mostra l'andamento del clima nel corso del 2017 e aggiorna la stime delle variazioni climatiche negli ultimi decenni in Italia";"http://www.scia.isprambiente.it/wwwrootscia/Documentazione/RAPPORTOCLIMA2017.pdf";Rapporto
Il clima in Italia nel 2016;2017;"./www/img/clima2016.jpg";Fioravanti G., Fraschetti P., Lena F., Perconti W., Piervitali E.;"Il rapporto mostra l'andamento del clima nel corso del 2016 e aggiorna la stime delle variazioni climatiche negli ultimi decenni in Italia";"http://www.scia.isprambiente.it/wwwrootscia/Documentazione/RAPPORTOCLIMA2016.pdf";Rapporto
Il clima in Italia nel 2015;2016;"./www/img/clima2015.jpg";Fioravanti G., Fraschetti P., Lena F., Perconti W., Piervitali E.;"Il rapporto mostra l'andamento del clima nel corso del 2015 e aggiorna la stime delle variazioni climatiche negli ultimi decenni in Italia";"http://www.scia.isprambiente.it/wwwrootscia/Documentazione/RAPPORTOCLIMA2015.pdf";Rapporto
Il clima in Italia nel 2014;2015;"./www/img/clima2014.jpg";Fioravanti G., Fraschetti P., Lena F., Perconti W., Piervitali E.;"Il rapporto mostra l'andamento del clima nel corso del 2014 e aggiorna la stime delle variazioni climatiche negli ultimi decenni in Italia";"http://www.scia.isprambiente.it/wwwrootscia/Documentazione/RAPPORTOCLIMA2014.pdf";Rapporto
Il clima in Italia nel 2013;2014;"./www/img/clima2013.jpg";Fioravanti G., Fraschetti P., Lena F., Perconti W., Piervitali E.;"Il rapporto mostra l'andamento del clima nel corso del 2013 e aggiorna la stime delle variazioni climatiche negli ultimi decenni in Italia";"http://www.scia.isprambiente.it/wwwrootscia/Documentazione/RAPPORTOCLIMA2013.pdf";Rapporto
Il clima in Italia nel 2012;2013;"./www/img/clima2012.jpg";Fioravanti G., Fraschetti P., Lena F., Perconti W., Piervitali E.;"Il rapporto mostra l'andamento del clima nel corso del 2012 e aggiorna la stime delle variazioni climatiche negli ultimi decenni in Italia";"http://www.scia.isprambiente.it/wwwrootscia/Documentazione/RAPPORTOCLIMA2012.pdf";Rapporto
Il clima in Italia nel 2011;2012;"./www/img/clima2011.jpg";Fioravanti G., Fraschetti P., Lena F., Perconti W., Piervitali E.;"Il rapporto mostra l'andamento del clima nel corso del 2011 e aggiorna la stime delle variazioni climatiche negli ultimi decenni in Italia";"http://www.scia.isprambiente.it/wwwrootscia/Documentazione/RAPPORTOCLIMA2011.pdf";Rapporto
Il clima in Italia nel 2010;2011;"./www/img/clima2010.jpg";Fioravanti G., Fraschetti P., Lena F., Perconti W., Piervitali E.;"Il rapporto mostra l'andamento del clima nel corso del 2010 e aggiorna la stime delle variazioni climatiche negli ultimi decenni in Italia";"http://www.scia.isprambiente.it/wwwrootscia/Documentazione/RAPPORTOCLIMA2010.pdf";Rapporto
Il clima in Italia nel 2009;2010;"./www/img/clima2009.jpg";Fioravanti G., Fraschetti P., Lena F., Perconti W., Piervitali E.;"Il rapporto mostra l'andamento del clima nel corso del 2009 e aggiorna la stime delle variazioni climatiche negli ultimi decenni in Italia";"http://www.scia.isprambiente.it/wwwrootscia/Documentazione/RAPPORTOCLIMA2009.pdf";Rapporto
Il clima in Italia nel 2008;2009;"./www/img/clima2008.jpg";Fioravanti G., Fraschetti P., Lena F., Perconti W., Piervitali E.;"Il rapporto mostra l'andamento del clima nel corso del 2008 e aggiorna la stime delle variazioni climatiche negli ultimi decenni in Italia";"http://www.scia.isprambiente.it/wwwrootscia/Documentazione/RAPPORTOCLIMA2008.pdf";Rapporto
Controlli di qualita' delle serie di temperatura e precipitazione;2016;"./www/img/controlli-qualita.jpg";Desiato F., Fioravanti G., Fraschetti P., Perconti W., Piervitali E.;"In questo rapporto viene descritta la metodologia adottata dall’ISPRA per il controllo delle serie giornaliere di temperatura e precipitazione";http://www.scia.isprambiente.it/wwwrootscia/Documentazione/Rapporto_controlli_qualit%C3%A0_clima.pdf;Rapporto
Il clima futuro in Italia: analisi delle proiezioni dei modelli regionali;2015;"./www/img/clima-futuro.jpg";Desiato F., Fioravanti G., Fraschetti P., Perconti W., Piervitali E.;"Analisi delle proiezioni climatiche sull’Italia utilizzando le simulazioni modellistiche prodotte nell’ambito di Med-CORDEX";"http://www.scia.isprambiente.it/wwwrootscia/Documentazione/IlClimaFuturoInItalia.pdf";Rapporto
Temperature trend over Italy from 1961 to 2004;2007;"./www/img/temperature_trend_1961_2004.png";Toreti A., Desiato F.;;"http://www.scia.isprambiente.it/wwwrootscia/Documentazione/ttrend_thapplclim.pdf";Articolo
Temperature in Italia dal 1961 al 2008;;"./www/img/poster_temperature.jpg";Fioravanti G., Fraschetti P., Perconti W., Toreti A., Desiato F.;;http://www.scia.isprambiente.it/wwwrootscia/Documentazione/POSTERTEMPERATURE.jpg;Poster
Valori climatici normali di temperatura e precipitazione in Italia;2014;"./www/img/valori_normali.jpg";Desiato F., Fioravanti G., Fraschetti P., Perconti W., Piervitali E.;Valori climatici normali (1961-1990, 1971-2000, 1981-2010) di temperatura e precipitazione;http://www.scia.isprambiente.it/wwwrootscia/Documentazione/rapporto_Valori_normali_def.pdf;Report
